"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","1","tests.shared","test_sla_enforcement","","","","test_sla_raises_just_over_threshold","elapsed = threshold + epsilon — smallest violation."
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","61","tests.countries","test_countries","","","","test_germany_appears_in_europe_region[countries]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","119","tests.countries","test_regions","","","","test_region_returns_sufficient_countries[countries-oceania]",""
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","96","tests.weather","test_weather","","","","test_city_forecast[weather-Tokyo]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","67","tests.countries","test_countries","","","","test_all_countries_have_positive_population[countries]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","1","tests.shared","test_sla_enforcement","","","","test_sla_violation_message_contains_context","Exception message must include env name, path, elapsed time, and threshold."
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","160","tests.countries","test_regions","","","","test_region_returns_sufficient_countries[countries-europe]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","1","tests.shared","test_sla_enforcement","","","","test_sla_raises_well_over_threshold","elapsed >> threshold — clear violation."
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","181","tests.countries","test_regions","","","","test_region_returns_sufficient_countries[countries-africa]",""
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","0","tests.shared","test_sla","","","","test_sla_threshold_configured[weather]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","15","tests.countries","test_countries","","","","test_germany_schema[countries]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","385","tests.weather","test_weather","","","","test_city_forecast[weather-Buenos Aires]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","389","tests.weather","test_weather","","","","test_city_forecast[weather-Reykjavik]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","19","tests.countries","test_regions","","","","test_region_rejects_invalid[countries-empty string \u2014 uses /region/ path]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","55","tests.countries","test_regions","","","","test_region_schema[countries-africa]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","17","tests.shared","test_sla","","","","test_base_url_reachable[countries]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","31","tests.countries","test_regions","","","","test_region_schema[countries-oceania]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","19","tests.countries","test_regions","","","","test_region_returns_sufficient_countries[countries-asia]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","145","tests.countries","test_countries","","","","test_europe_region_has_sufficient_countries[countries]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","165","tests.countries","test_regions","","","","test_region_returns_sufficient_countries[countries-americas]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","1","tests.shared","test_sla_enforcement","","","","test_sla_passes_at_exact_threshold","elapsed == threshold — boundary value, NOT a violation (operator is strict >)."
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","381","tests.weather","test_weather","","","","test_city_forecast[weather-London]",""
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","38","tests.countries","test_regions","","","","test_region_schema[countries-europe]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","15","tests.countries","test_regions","","","","test_region_rejects_invalid[countries-nonsense string]",""
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","18","tests.countries","test_regions","","","","test_region_rejects_invalid[countries-numeric string]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","0","tests.shared","test_sla_enforcement","","","","test_sla_violation_is_assertion_error","SLAViolation must subclass AssertionError so pytest marks it FAILED not ERROR."
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","20","tests.countries","test_regions","","","","test_region_schema[countries-asia]",""
"passed","Tue Apr 21 02:06:13 UTC 2026","Tue Apr 21 02:06:13 UTC 2026","382","tests.weather","test_weather","","","","test_city_forecast[weather-Sydney]",""
"passed","Tue Apr 21 02:06:12 UTC 2026","Tue Apr 21 02:06:12 UTC 2026","379","tests.shared","test_sla","","","","test_base_url_reachable[weather]",""
"passed","Tue Apr 21 02:06:11 UTC 2026","Tue Apr 21 02:06:11 UTC 2026","0","tests.shared","test_sla","","","","test_sla_threshold_configured[countries]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","58","tests.countries","test_regions","","","","test_region_schema[countries-americas]",""
"passed","Tue Apr 21 02:06:14 UTC 2026","Tue Apr 21 02:06:14 UTC 2026","2","tests.shared","test_sla_enforcement","","","","test_sla_passes_when_under_threshold","elapsed < threshold — no exception."
